Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PP_G,PP_A,SH_G,SH_A,Def_Hits,Def_BS
Jakob Chychrun,OTT,D,45,8,20,28,-12,32,105,0,3,8,0,0,25,75
Michael Eyssimont,TB,C,49,8,7,15,6,59,99,2,2,1,0,0,54,15
Adam Fox,NYR,D,39,8,29,37,4,18,67,1,3,17,0,0,14,56
Devon Toews,COL,D,49,8,21,29,15,12,88,1,0,5,0,2,40,77
Anthony Duclair,SJ,LW,44,8,8,16,-11,28,69,1,1,4,0,0,20,21
Noah Hanifin,CGY,D,49,8,17,25,10,22,91,1,1,3,0,1,31,73
Evan Rodrigues,FLA,C,49,8,21,29,16,18,112,1,2,5,0,0,41,17
Mathieu Joseph,OTT,RW,35,8,14,22,6,35,68,2,0,0,0,1,31,18
Conor Garland,VAN,RW,49,8,16,24,13,8,109,0,0,1,0,0,17,17
Thomas Novak,NSH,C,38,8,13,21,-8,6,58,1,4,2,0,0,1,12
Kevin Stenlund,FLA,C,49,8,3,11,-6,42,50,2,0,0,0,0,38,30
Vince Dunn,SEA,D,44,8,28,36,2,48,88,0,4,9,0,1,25,44
Chandler Stephenson,VGK,C,46,8,18,26,-6,21,65,2,2,6,1,1,24,25
Adam Lowry,WPG,LW,47,8,15,23,10,40,68,1,0,1,1,1,89,43
Luke Glendening,TB,C,50,8,1,9,2,29,31,1,0,0,1,0,61,32
Reilly Smith,PIT,RW,40,8,12,20,-1,6,80,1,1,5,0,0,21,10
Miles Wood,COL,LW,44,8,10,18,4,59,91,1,0,0,1,0,49,20
Alexander Wennberg,SEA,C,48,8,12,20,2,12,65,4,1,2,1,0,18,50
Colton Parayko,STL,D,47,8,9,17,5,12,93,4,0,0,1,1,51,124
Brendan Gallagher,MON,RW,48,8,8,16,-21,47,103,1,1,3,0,0,37,20
Joel Armia,MON,RW,33,8,1,9,1,18,62,2,0,0,2,0,17,18
Marcus Foligno,MIN,LW,45,8,11,19,11,43,47,2,0,0,0,1,129,30
Mike Hoffman,SJ,LW,47,8,9,17,-16,18,56,1,2,1,0,0,19,21
Mats Zuccarello,MIN,RW,40,8,31,39,-2,16,101,1,3,17,0,0,9,29
Brent Burns,CAR,D,48,8,19,27,14,14,118,0,3,10,1,0,15,38
T.J. Oshie,WAS,RW,30,8,4,12,-8,28,63,2,4,2,0,0,39,29
James van Riemsdyk,BOS,LW,45,8,24,32,8,8,101,3,5,6,0,0,13,12
Marcus Johansson,MIN,LW,49,8,16,24,-10,12,79,0,1,3,0,0,22,18
Jamie Benn,DAL,C,49,8,21,29,1,31,84,0,1,9,1,1,46,27
Jack Drury,CAR,C,48,8,14,22,5,16,60,0,2,4,0,0,15,19
Sean Durzi,ARI,D,42,8,20,28,8,39,75,1,3,7,0,0,17,90
Philipp Kurashev,CHI,LW,43,8,16,24,-26,17,80,2,3,5,0,0,9,30
Morgan Barron,WPG,LW,47,8,4,12,9,10,62,1,0,1,0,0,43,31
Juuso Parssinen,NSH,LW,44,8,4,12,-6,12,54,0,2,1,0,0,55,15
Will Cuylle,NYR,LW,49,8,6,14,3,36,71,1,0,1,0,0,128,14
Luke Hughes,NJ,D,47,8,18,26,-8,14,67,1,4,8,0,0,13,26
William Eklund,SJ,LW,48,8,13,21,-22,22,77,4,4,2,0,1,17,40
Leo Carlsson,ANH,C,30,8,10,18,-6,8,63,0,3,4,0,0,14,9
Cole Sillinger,CLS,C,43,8,11,19,1,28,83,1,1,0,0,0,49,47
Matthew Knies,TOR,LW,45,8,9,17,3,23,57,1,0,2,0,0,79,15
Tye Kartye,SEA,C,47,8,7,15,0,29,77,0,0,0,0,0,85,14
Juraj Slafkovsky,MON,LW,49,7,13,20,-16,25,71,1,3,3,0,0,73,42
Ridly Greig,OTT,C,35,7,11,18,15,33,55,0,2,0,1,0,56,18
Jake Sanderson,OTT,D,45,7,17,24,3,19,95,2,2,4,0,0,25,88
Matias Maccelli,ARI,LW,48,7,25,32,-4,6,84,1,1,4,0,1,9,18
Connor McMichael,WAS,C,45,7,8,15,-8,24,76,2,1,0,1,1,10,22
Bobby Brink,PHI,RW,38,7,11,18,7,6,55,1,2,2,0,0,11,15
Nick Robertson,TOR,LW,29,7,7,14,2,2,46,1,1,1,0,0,15,12
Alex Newhook,MON,C,23,7,6,13,-5,8,31,1,0,3,0,0,16,8
Pavel Dorofeyev,VGK,LW,29,7,7,14,5,4,63,0,0,0,0,0,9,16
K'Andre Miller,NYR,D,47,7,11,18,4,26,59,3,0,0,0,1,64,64
Connor Dewar,MIN,C,45,7,2,9,-9,20,43,0,0,0,1,0,50,16
Erik Karlsson,PIT,D,46,7,27,34,9,24,109,2,2,8,0,0,18,48
Jordan Eberle,SEA,RW,44,7,18,25,3,9,91,2,1,5,0,0,13,9
Patrick Kane,DET,RW,19,7,9,16,-3,4,63,1,1,3,0,0,3,6
Sam Carrick,ANH,C,49,7,3,10,-9,64,60,0,1,0,1,0,77,23
Jason Zucker,ARI,LW,38,7,10,17,3,44,81,0,3,2,0,0,45,12
Josh Anderson,MON,RW,45,7,6,13,-13,51,97,0,0,2,0,0,88,22
Alex Kerfoot,ARI,C,48,7,21,28,-6,18,66,3,2,7,1,1,26,28
Josh Morrissey,WPG,D,47,7,27,34,21,32,120,1,1,7,0,0,38,69
Morgan Rielly,TOR,D,47,7,33,40,0,8,123,0,1,13,0,0,38,92
Yanni Gourde,SEA,LW,46,7,13,20,-4,48,99,0,0,1,0,0,66,22
Johnny Gaudreau,CLS,LW,48,7,23,30,-22,10,93,1,1,11,0,0,2,13
Sean Kuraly,CLS,C,40,7,6,13,-1,30,55,0,0,0,0,1,86,22
Shayne Gostisbehere,DET,D,48,7,25,32,-19,14,83,1,2,18,0,0,18,43
Mike Matheson,MON,D,49,7,27,34,-17,42,127,0,5,14,0,0,27,102
Jordan Martinook,CAR,LW,48,7,9,16,-1,18,94,1,0,0,0,0,30,18
Brady Skjei,CAR,D,48,7,20,27,3,22,103,1,1,6,1,1,28,54
Rasmus Andersson,CGY,D,45,7,21,28,2,33,102,3,0,5,1,0,21,114
Yakov Trenin,NSH,C,46,7,3,10,2,32,68,2,0,0,0,1,108,21
Nic Dowd,WAS,C,38,7,6,13,8,24,36,2,0,0,0,0,42,52
Gustav Forsling,FLA,D,48,7,14,21,31,35,105,0,1,0,0,0,52,69
Jacob Middleton,MIN,D,49,7,11,18,-8,46,53,1,0,0,0,1,80,101
Carl Grundstrom,LA,LW,46,7,4,11,-2,10,86,1,1,0,1,0,85,14
Charlie McAvoy,BOS,D,41,7,26,33,13,55,78,2,1,11,0,0,55,85
Alexei Toropchenko,STL,RW,47,7,4,11,-4,26,54,1,0,0,2,0,66,29
Kailer Yamamoto,SEA,LW,43,7,5,12,-5,12,45,2,2,2,0,0,15,15
Morgan Frost,PHI,C,39,7,15,22,6,10,76,1,2,4,0,0,22,32
Alex Iafallo,WPG,C,47,7,11,18,4,2,81,1,2,3,0,1,18,42
Tanner Jeannot,TB,LW,41,6,6,12,-11,61,52,0,1,1,0,0,132,20
Johnny Kovacevic,MON,D,41,6,2,8,7,18,33,0,0,0,0,0,35,54
Luke Kunin,SJ,C,44,6,2,8,-17,44,57,1,1,1,0,0,70,30
Patrik Laine,CLS,RW,18,6,3,9,-10,6,41,0,1,1,0,0,5,14
Michael Amadio,VGK,C,43,6,11,17,5,6,59,0,2,2,0,0,15,19
Ryan Donato,CHI,C,46,6,8,14,-15,15,91,0,0,1,0,0,47,17
Jordan Greenway,BUF,LW,37,6,8,14,3,29,50,0,1,0,0,0,57,37
Jacob MacDonald,SJ,D,17,6,1,7,-10,21,31,0,3,1,0,0,14,9
A.J. Greer,CGY,LW,47,6,4,10,-9,33,47,0,1,0,0,0,77,17
Damon Severson,CLS,D,33,6,9,15,-2,26,40,0,0,2,0,1,15,53
Oskar Sundqvist,STL,C,47,6,12,18,-1,14,47,0,3,0,1,2,43,35
Josh Manson,COL,D,44,6,11,17,5,54,68,0,0,0,1,1,104,66
Jean-Gabriel Pageau,NYI,C,49,6,14,20,-11,8,61,1,0,1,1,5,105,49
Ondrej Palat,NJ,LW,37,6,10,16,-4,25,67,0,1,4,0,0,39,24
Alex Killorn,ANH,C,34,6,13,19,-15,30,80,1,3,2,0,0,27,15
Craig Smith,DAL,RW,45,6,3,9,3,23,72,0,0,0,0,0,24,21
Vladislav Namestnikov,WPG,C,44,6,19,25,18,8,59,0,2,1,1,0,38,27
Curtis Lazar,NJ,C,42,6,10,16,10,16,43,2,0,0,1,0,85,35
Darnell Nurse,EDM,D,45,6,11,17,10,34,95,1,1,2,1,0,76,106
Michael McCarron,NSH,C,37,6,5,11,0,57,40,0,0,0,0,0,66,26
Tyler Bertuzzi,TOR,LW,46,6,14,20,6,22,86,0,2,1,0,0,40,24
